         4809926 function calls (4665996 primitive calls) in 94.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1320    0.000    0.000    0.076    0.000 /home/ali/venv/lib/python3.12/site-packages/audioread/__init__.py:68(available_backends)
      372    0.075    0.000    0.075    0.000 {built-in method torch.conv2d}
      880    0.003    0.000    0.072    0.000 /usr/lib/python3.12/logging/__init__.py:1541(warning)
     1364    0.009    0.000    0.072    0.000 /home/ali/venv/lib/python3.12/site-packages/PIL/Image.py:775(tobytes)
     1321    0.003    0.000    0.072    0.000 /usr/lib/python3.12/_weakrefset.py:85(add)
       44    0.000    0.000    0.072    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
    52/48    0.000    0.000    0.071    0.001 /home/ali/venv/lib/python3.12/site-packages/numba/core/codegen.py:565(_ensure_finalized)
        6    0.070    0.012    0.070    0.012 {built-in method torch.stack}
      880    0.002    0.000    0.069    0.000 /usr/lib/python3.12/logging/__init__.py:1660(_log)
33435/33227    0.014    0.000    0.069    0.000 {built-in method builtins.next}
     8803    0.040    0.000    0.068    0.000 /usr/lib/python3.12/idlelib/rpc.py:57(dumps)
     8802    0.017    0.000    0.068    0.000 /usr/lib/python3.12/idlelib/rpc.py:559(__getattr__)
 2700/360    0.007    0.000    0.067    0.000 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/context.py:428(install_registry)
   300/40    0.001    0.000    0.067    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/context.py:415(_load_builtins)
        1    0.000    0.000    0.063    0.063 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:99(available)
    12136    0.024    0.000    0.062    0.000 /usr/lib/python3.12/threading.py:394(notify)
       45    0.000    0.000    0.061    0.001 /home/ali/venv/lib/python3.12/site-packages/numba/core/codegen.py:781(_finalize_final_module)
      382    0.021    0.000    0.059    0.000 /home/ali/venv/lib/python3.12/site-packages/scipy/_lib/doccer.py:13(docformat)
      260    0.000    0.000    0.059    0.000 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1046(__init__)
      129    0.001    0.000    0.058    0.000 /home/ali/venv/lib/python3.12/site-packages/scipy/stats/_distn_infrastructure.py:821(_construct_doc)
      260    0.001    0.000    0.055    0.000 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:899(_get_target_registry)
       10    0.000    0.000    0.055    0.006 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/gufunc.py:139(build_ufunc)
      243    0.001    0.000    0.055    0.000 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1092(_init_once)
       10    0.000    0.000    0.055    0.005 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/ufuncbuilder.py:365(build_ufunc)
    10665    0.047    0.000    0.053    0.000 /home/ali/venv/lib/python3.12/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
       45    0.000    0.000    0.053    0.001 /home/ali/venv/lib/python3.12/site-packages/numba/core/codegen.py:996(_finalize_specific)
      441    0.003    0.000    0.052    0.000 /usr/lib/python3.12/tempfile.py:676(NamedTemporaryFile)
       18    0.000    0.000    0.052    0.003 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/ufuncbuilder.py:394(build)
    10462    0.052    0.000    0.052    0.000 {built-in method posix.pipe}
