         3789495 function calls (3566026 primitive calls) in 302.661 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.177    0.059 /usr/lib/python3.12/subprocess.py:506(run)
     3368    0.005    0.000    0.173    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/normalization.py:216(forward)
    56/51    0.000    0.000    0.172    0.003 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:1170(lower_expr)
      479    0.000    0.000    0.168    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/serialization.py:1684(restore_location)
      479    0.001    0.000    0.168    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/serialization.py:580(default_restore_location)
      479    0.001    0.000    0.167    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/serialization.py:535(_deserialize)
     3368    0.007    0.000    0.166    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/nn/functional.py:2879(layer_norm)
      244    0.000    0.000    0.156    0.001 /usr/lib/python3.12/subprocess.py:1259(wait)
      244    0.001    0.000    0.156    0.001 /usr/lib/python3.12/subprocess.py:2021(_wait)
     3368    0.156    0.000    0.156    0.000 {built-in method torch.layer_norm}
      188    0.000    0.000    0.155    0.001 /usr/lib/python3.12/subprocess.py:2008(_try_wait)
      267    0.155    0.001    0.155    0.001 {built-in method posix.waitpid}
       27    0.000    0.000    0.155    0.006 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/VideoClip.py:911(fl)
      779    0.014    0.000    0.154    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/compositing/CompositeVideoClip.py:116(playing_clips)
    46/37    0.000    0.000    0.154    0.004 /home/ali/venv/lib/python3.12/site-packages/numba/core/base.py:1189(__call__)
    46/37    0.000    0.000    0.154    0.004 /home/ali/venv/lib/python3.12/site-packages/numba/core/base.py:1218(wrapper)
       26    0.000    0.000    0.151    0.006 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/fx/fadein.py:4(fadein)
        1    0.000    0.000    0.150    0.150 /home/ali/venv/lib/python3.12/site-packages/whisper/audio.py:25(load_audio)
      479    0.000    0.000    0.150    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/storage.py:276(to)
      479    0.005    0.000    0.150    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/_utils.py:55(_to)
      479    0.141    0.000    0.141    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
  219/215    0.001    0.000    0.136    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
     1823    0.113    0.000    0.135    0.000 /home/ali/venv/lib/python3.12/site-packages/llvmlite/binding/ffi.py:190(__call__)
  117/113    0.000    0.000    0.132    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    17/15    0.000    0.000    0.131    0.009 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:900(lower_call)
    16/14    0.000    0.000    0.131    0.009 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:1142(_lower_call_normal)
    72226    0.037    0.000    0.129    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/tools.py:69(cvsecs)
    19/12    0.000    0.000    0.128    0.011 /home/ali/venv/lib/python3.12/site-packages/numba/core/codegen.py:565(_ensure_finalized)
       24    0.000    0.000    0.127    0.005 <decorator-gen-83>:1(crossfadeout)
       24    0.000    0.000    0.127    0.005 <decorator-gen-82>:1(crossfadeout)
       24    0.000    0.000    0.126    0.005 <decorator-gen-81>:1(crossfadein)
       24    0.000    0.000    0.126    0.005 <decorator-gen-80>:1(crossfadein)
       24    0.000    0.000    0.125    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/compositing/transitions.py:26(crossfadeout)
        1    0.000    0.000    0.121    0.121 /home/ali/venv/lib/python3.12/site-packages/numba/np/arrayobj.py:5412(codegen)
